id,threshold,batch-size,sites,rounds,rebalances,accuracy,traffic
1,0.01,16,8,4217,5537,98.01,35288294742
2,0.1,16,8,1589,445,97.42,11660888775
3,0.3,16,8,803,648,97.04,9673908135
4,0.5,16,8,752,530,96.93,9070704405
5,0.7,16,8,480,363,96.92,6234683940
6,0.9,16,8,378,302,96.59,5182897755
7,1,16,8,183,243,96.48,3870064305
8,0.5,1,8,1223,1980,97.32,50890607085
9,0.5,4,8,781,2090,97.05,22039344380
10,0.5,16,8,752,530,96.93,22039344120
11,0.5,32,8,492,1034,96.42,11012068832
12,0.5,64,8,466,1028,96.41,11012068738
13,0.5,128,8,389,995,96.38,11012067998
14,0.5,16,4,792,5537,96.92,23527557360
15,0.5,16,8,752,530,96.93,9002949988
16,0.5,16,16,665,2722,96.91,64805840192
17,0.5,16,32,252,618,96.88,7111278952
18,0.5,16,64,183,680,96.72,9737630624
19,0.5,16,128,64,363,96.61,1662582384
